87, "Thu Mar 14 16:56:23 +0000 2019", "rlmcelreath"
88, "Thu Mar 14 07:56:03 +0000 2019", "simplystats"
89, "Tue Mar 12 07:47:52 +0000 2019", "dariyasydykova"
90, "Fri Mar 08 19:33:18 +0000 2019", "N/A"
91, "Fri Mar 08 18:02:24 +0000 2019", "N/A"
92, "Fri Mar 08 17:59:02 +0000 2019", "N/A"
93, "Thu Mar 07 08:06:50 +0000 2019", "N/A"
94, "Thu Mar 07 07:50:00 +0000 2019", "kirstie_j"
95, "Wed Mar 06 17:02:31 +0000 2019", "jim_savage_"
96, "Wed Mar 06 07:35:41 +0000 2019", "richarddmorey"
97, "Sat Mar 02 21:36:52 +0000 2019", "SemiticsGuy"
98, "Thu Feb 28 17:48:29 +0000 2019", "tjmahr"
99, "Tue Feb 26 08:11:13 +0000 2019", "vuorre"
100, "Sun Feb 24 12:22:33 +0000 2019", "data_stephanie"
101, "Sat Feb 23 14:04:23 +0000 2019", "d4rr3ll"
102, "Sat Feb 23 13:38:26 +0000 2019", "d4rr3ll"
103, "Sat Feb 23 13:34:07 +0000 2019", "d4rr3ll"
104, "Sat Feb 23 12:40:29 +0000 2019", "N/A"
105, "Sat Feb 23 12:36:23 +0000 2019", "N/A"
106, "Sat Feb 23 12:33:08 +0000 2019", "N/A"
107, "Sat Feb 23 12:31:49 +0000 2019", "N/A"
108, "Sat Feb 23 12:31:10 +0000 2019", "N/A"
109, "Sat Feb 23 12:29:26 +0000 2019", "N/A"
110, "Sat Feb 23 12:28:55 +0000 2019", "N/A"
111, "Sat Feb 23 12:27:23 +0000 2019", "N/A"
112, "Sat Feb 23 12:23:02 +0000 2019", "JimGrange"
113, "Fri Feb 22 21:19:50 +0000 2019", "o_guest"
114, "Wed Feb 20 08:09:32 +0000 2019", "ladyhaja"
115, "Tue Feb 19 22:14:12 +0000 2019", "N/A"
116, "Tue Feb 19 22:13:23 +0000 2019", "AliciaForsberg"
117, "Tue Feb 19 22:03:33 +0000 2019", "DrMowinckels"
118, "Tue Feb 19 10:04:30 +0000 2019", "N/A"
119, "Mon Feb 18 17:14:54 +0000 2019", "SSteinLubrano"
120, "Mon Feb 18 17:07:06 +0000 2019", "sharlagelfand"
121, "Mon Feb 18 17:05:28 +0000 2019", "MikeSegalov"
122, "Mon Feb 18 10:33:05 +0000 2019", "N/A"
123, "Mon Feb 18 10:32:07 +0000 2019", "N/A"
124, "Mon Feb 18 09:58:15 +0000 2019", "N/A"
125, "Mon Feb 18 09:27:44 +0000 2019", "N/A"
126, "Sat Feb 16 19:29:18 +0000 2019", "N/A"
127, "Wed Feb 13 17:10:40 +0000 2019", "richarddmorey"
128, "Wed Feb 13 17:01:11 +0000 2019", "tjmahr"
129, "Sat Feb 09 09:14:03 +0000 2019", "PrincenAlice"
130, "Mon Feb 04 22:01:01 +0000 2019", "OpenSandwiches"
131, "Fri Feb 01 11:25:52 +0000 2019", "N/A"
132, "Mon Jan 28 07:55:52 +0000 2019", "javierluraschi"
133, "Sat Jan 26 10:05:01 +0000 2019", "N/A"
134, "Fri Jan 25 15:00:54 +0000 2019", "N/A"
135, "Fri Jan 25 12:49:47 +0000 2019", "N/A"
136, "Fri Jan 25 12:46:03 +0000 2019", "N/A"
137, "Fri Jan 25 09:01:08 +0000 2019", "_brohrer_"
138, "Thu Jan 24 23:19:26 +0000 2019", "dalejbarr"
139, "Thu Jan 24 21:18:14 +0000 2019", "Oscar_Giles"
140, "Thu Jan 24 21:03:55 +0000 2019", "Matt_Craddock"
141, "Thu Jan 24 21:03:31 +0000 2019", "Oscar_Giles"
142, "Thu Jan 24 20:45:51 +0000 2019", "Oscar_Giles"
143, "Thu Jan 24 20:44:52 +0000 2019", "Matt_Craddock"
144, "Thu Jan 24 20:43:12 +0000 2019", "Oscar_Giles"
145, "Thu Jan 24 16:28:50 +0000 2019", "Matt_Craddock"
146, "Thu Jan 24 16:28:15 +0000 2019", "Oscar_Giles"
147, "Thu Jan 24 16:08:52 +0000 2019", "N/A"
148, "Thu Jan 24 16:05:55 +0000 2019", "N/A"
149, "Thu Jan 24 13:54:23 +0000 2019", "zjuul"
150, "Thu Jan 24 13:48:01 +0000 2019", "zjuul"
151, "Thu Jan 24 13:47:30 +0000 2019", "zjuul"
152, "Thu Jan 24 13:27:50 +0000 2019", "N/A"
153, "Thu Jan 24 13:20:53 +0000 2019", "tjmahr"
154, "Wed Jan 23 08:06:20 +0000 2019", "AngeBassa"
155, "Wed Jan 23 08:02:51 +0000 2019", "N/A"
156, "Mon Jan 21 09:22:59 +0000 2019", "N/A"
157, "Sat Jan 19 09:34:04 +0000 2019", "kierisi"
158, "Fri Jan 18 21:19:19 +0000 2019", "travisgerke"
159, "Fri Jan 18 19:55:51 +0000 2019", "HackneyAbbott"
160, "Fri Jan 18 17:33:10 +0000 2019", "AaronBastani"
161, "Fri Jan 18 17:31:44 +0000 2019", "WritersofColour"
162, "Wed Jan 16 20:47:51 +0000 2019", "mrjoshz"
163, "Tue Jan 15 23:20:03 +0000 2019", "allimoberger"
164, "Tue Jan 15 13:22:19 +0000 2019", "N/A"
165, "Mon Jan 14 20:00:25 +0000 2019", "OrbenAmy"
166, "Thu Jan 10 06:32:16 +0000 2019", "annie_etc_"
167, "Fri Jan 04 13:50:39 +0000 2019", "OrbenAmy"
168, "Thu Jan 03 10:48:59 +0000 2019", "N/A"
169, "Fri Dec 28 13:35:27 +0000 2018", "N/A"
170, "Fri Dec 28 13:33:24 +0000 2018", "N/A"
171, "Fri Dec 28 11:19:41 +0000 2018", "drilosophers"
172, "Fri Dec 28 11:14:09 +0000 2018", "drilosophers"
173, "Fri Dec 28 11:12:19 +0000 2018", "drilosophers"
174, "Fri Dec 28 11:10:17 +0000 2018", "drilosophers"
175, "Fri Dec 28 11:04:11 +0000 2018", "N/A"
176, "Fri Dec 28 11:03:38 +0000 2018", "N/A"
177, "Fri Dec 21 16:35:47 +0000 2018", "AbiralCP"
178, "Thu Dec 20 17:21:33 +0000 2018", "HetanShah"
179, "Fri Dec 14 17:06:18 +0000 2018", "chrisjeavans"
180, "Fri Dec 14 17:03:43 +0000 2018", "stephenkb"
181, "Fri Dec 14 08:01:41 +0000 2018", "_ColinFay"
182, "Fri Dec 14 07:52:15 +0000 2018", "Amy__Atkinson"
183, "Thu Dec 13 17:12:26 +0000 2018", "N/A"
184, "Thu Dec 13 17:11:17 +0000 2018", "N/A"
185, "Thu Dec 13 17:08:46 +0000 2018", "N/A"
186, "Thu Dec 13 17:07:43 +0000 2018", "N/A"
187, "Thu Dec 13 17:06:27 +0000 2018", "N/A"
188, "Thu Dec 13 17:00:34 +0000 2018", "vuorre"
189, "Wed Dec 12 20:55:52 +0000 2018", "N/A"
190, "Tue Dec 11 19:55:23 +0000 2018", "matthew_daniels"
191, "Tue Dec 11 16:57:33 +0000 2018", "ucfagls"
192, "Sat Dec 08 13:07:48 +0000 2018", "scallybrian"
193, "Sat Dec 08 13:03:20 +0000 2018", "scallybrian"
194, "Sat Dec 08 13:00:24 +0000 2018", "scallybrian"
195, "Tue Dec 04 17:42:36 +0000 2018", "Abebab"
196, "Tue Dec 04 17:25:03 +0000 2018", "thomasp85"
197, "Tue Dec 04 17:24:39 +0000 2018", "N/A"
198, "Tue Dec 04 17:20:35 +0000 2018", "N/A"
199, "Tue Dec 04 09:14:47 +0000 2018", "scallybrian"
200, "Tue Dec 04 08:29:00 +0000 2018", "N/A"
